state,zipcode,county,tax_rate
Alabama,36003,Cook County,2.023
Alabama,36507,Autauga County,0.277
Alabama,36016,Baldwin County,0.299
Alabama,35034,Barbour County,0.388
Alabama,35031,Bibb County,0.238
Alabama,36029,Blount County,0.29
Alabama,36030,Bullock County,0.449
Alabama,36201,Butler County,0.332
Alabama,36854,Calhoun County,0.421
Alabama,35959,Chambers County,0.376
Alabama,35045,Cherokee County,0.377
Alabama,36904,Chilton County,0.337
Alabama,36436,Choctaw County,0.218
Alabama,35082,Clarke County,0.303
Alabama,36262,Clay County,0.238
Alabama,36323,Cleburne County,0.302
Alabama,35616,Coffee County,0.354
Alabama,36401,Colbert County,0.392
Alabama,35072,Conecuh County,0.297
Alabama,36028,Coosa County,0.254
Alabama,36009,Crenshaw County,0.33
Alabama,35019,Crenshaw County,0.33
Alabama,36311,Cullman County,0.249
Alabama,36701,Dale County,0.33
Alabama,35961,Dallas County,0.419
Alabama,36020,DeKalb County,0.344
Alabama,36426,Elmore County,0.267
Alabama,35901,Escambia County,0.377
Alabama,35542,Etowah County,0.371
Alabama,35571,Fayette County,0.286
Alabama,36313,Franklin County,0.326
Alabama,35443,Geneva County,0.303
Alabama,35441,Greene County,0.335
Alabama,36310,Hale County,0.323
Alabama,36301,Henry County,0.352
Alabama,35740,Houston County,0.31
Alabama,35005,Jackson County,0.347
Alabama,35544,Jefferson County,0.614
Alabama,35610,Lamar County,0.237
Alabama,355XX,Lauderdale County,0.396
Alabama,36801,Lauderdale County,0.396
Alabama,35611,Lee County,0.493
Alabama,36032,Limestone County,0.32
Alabama,36031,Lowndes County,0.352
Alabama,35741,Macon County,0.458
Alabama,36732,Madison County,0.408
Alabama,35543,Marengo County,0.404
Alabama,35016,Marion County,0.29
Alabama,36505,Marshall County,0.396
Alabama,36425,Mobile County,0.505
Alabama,36013,Monroe County,0.315
Alabama,35601,Montgomery County,0.377
Alabama,36756,Morgan County,0.362
Alabama,35442,Perry County,0.327
Alabama,36005,Pickens County,0.31
Alabama,36263,Pike County,0.292
Alabama,36856,Randolph County,0.276
Alabama,35007,Russell County,0.436
Alabama,35004,Shelby County,0.463
Alabama,35459,Saint Clair County,0.298
Alabama,35014,Sumter County,0.313
Alabama,35010,Talladega County,0.382
Alabama,35111,Tallapoosa County,0.342
Alabama,35063,Jefferson County,0.614
Alabama,36513,Walker County,0.268
Alabama,36435,Washington County,0.238
Alabama,35540,Wilcox County,0.321
Alaska,99553,Winston County,0.315
Alaska,99546,Aleutians East County,0.0
Alaska,99501,Aleutians West County,0.779
Alaska,99551,Anchorage County,1.308
Alaska,99613,Bethel County,0.0
Alaska,99704,Bristol Bay County,0.987
Alaska,99555,Denali County,0.171
Alaska,99701,Dillingham County,1.476
Alaska,99827,Fairbanks North Star County,1.254
Alaska,99801,Haines County,0.887
Alaska,99556,Juneau County,0.936
Alaska,99901,Kenai Peninsula County,0.66
Alaska,99550,Ketchikan Gateway County,0.711
Alaska,99548,Kodiak Island County,1.041
Alaska,99645,Lake and Peninsula County,0.0
Alaska,99659,Matanuska Susitna County,1.146
Alaska,99721,Nome County,1.518
Alaska,99727,North Slope County,0.753
Alaska,99903,Northwest Arctic County,0.0
Alaska,99835,Wrangell County,0.654
Alaska,99820,Sitka County,0.51
Alaska,99732,Hoonah-Angoon County,0.524
Alaska,99566,Southeast Fairbanks County,0.852
Alaska,99554,Valdez Cordova County,0.0
Alaska,99830,Wade Hampton County,0.0
Alaska,99689,Petersburg Census Area County,0.671
Alaska,99558,Yakutat County,0.844
Arizona,85920,Yukon Koyukuk County,1.01
Arizona,85602,Apache County,0.837
Arizona,85931,Cochise County,0.717
Arizona,85501,Coconino County,0.507
Arizona,85530,Gila County,0.614
Arizona,85533,Graham County,0.596
Arizona,85325,Greenlee County,0.374
Arizona,85268,La Paz County,0.648
Arizona,85360,Maricopa County,0.507
Arizona,85901,Mohave County,0.512
Arizona,85321,Navajo County,0.653
Arizona,85272,Pima County,0.837
Arizona,85611,Pima County,0.837
Arizona,85324,Santa Cruz County,0.67
Arizona,85333,Yavapai County,0.472
Arkansas,72003,Yuma County,0.73
Arkansas,71635,Arkansas County,0.528
Arkansas,72537,Ashley County,0.632
Arkansas,72711,Baxter County,0.464
Arkansas,72601,Benton County,0.631
Arkansas,71631,Boone County,0.557
Arkansas,71744,Bradley County,0.592
Arkansas,72611,Calhoun County,0.498
Arkansas,71638,Boone County,0.557
Arkansas,71743,Chicot County,0.595
Arkansas,72422,Clark County,0.611
Arkansas,72044,Clay County,0.537
Arkansas,71652,Cleburne County,0.464
Arkansas,71740,Cleveland County,0.643
Arkansas,72027,Columbia County,0.5
Arkansas,72401,Conway County,0.461
Arkansas,72921,Craighead County,0.566
Arkansas,72301,Crawford County,0.577
Arkansas,72324,Crittenden County,0.623
Arkansas,71725,Cross County,0.588
Arkansas,71630,Dallas County,0.497
Arkansas,71655,Desha County,0.542
Arkansas,72032,Drew County,0.467
Arkansas,72820,Faulkner County,0.585
Arkansas,72515,Franklin County,0.517
Arkansas,71901,Fulton County,0.473
Arkansas,72057,Garland County,0.526
Arkansas,72412,Grant County,0.569
Arkansas,71801,Greene County,0.503
Arkansas,71929,Hempstead County,0.498
Arkansas,71833,Hot Spring County,0.518
Arkansas,72165,Howard County,0.526
Arkansas,72512,Independence County,0.553
Arkansas,72005,Izard County,0.599
Arkansas,71601,Jackson County,0.548
Arkansas,72830,Jefferson County,0.629
Arkansas,71826,Johnson County,0.599
Arkansas,72410,Lafayette County,0.626
Arkansas,72311,Lawrence County,0.474
Arkansas,71643,Lee County,0.548
Arkansas,71820,Lincoln County,0.554
Arkansas,72826,Little River County,0.489
Arkansas,72007,Logan County,0.525
Arkansas,72721,Lonoke County,0.668
Arkansas,65733,Madison County,0.396
Arkansas,71834,Taney County,0.633
Arkansas,38041,Miller County,0.625
Arkansas,72021,Lauderdale County,0.731
Arkansas,71935,Monroe County,0.499
Arkansas,71722,Montgomery County,0.39
Arkansas,72624,Nevada County,0.544
Arkansas,71701,Newton County,0.402
Arkansas,72001,Ouachita County,0.522
Arkansas,72328,Perry County,0.49
Arkansas,71922,Phillips County,0.597
Arkansas,72354,Pike County,0.598
Arkansas,71937,Poinsett County,0.524
Arkansas,72679,Polk County,0.434
Arkansas,72017,Pope County,0.587
Arkansas,72053,Prairie County,0.55
Arkansas,72413,Pulaski County,0.808
Arkansas,72002,Randolph County,0.432
Arkansas,72841,Saline County,0.659
Arkansas,72610,Scott County,0.484
Arkansas,72901,Scott County,0.484
Arkansas,71823,Sebastian County,0.684
Arkansas,72482,Sevier County,0.521
Arkansas,72322,Sharp County,0.567
Arkansas,72051,Saint Francis County,0.583
Arkansas,71724,Stone County,0.344
Arkansas,72013,Union County,0.553
Arkansas,72701,Van Buren County,0.527
Arkansas,72010,Washington County,0.594
Arkansas,72006,White County,0.478
Arkansas,72824,Woodruff County,0.619
California,94501,Yell County,0.562
California,95646,Alameda County,0.763
California,95601,Alpine County,0.75
California,95914,Amador County,0.687
California,95221,Butte County,0.699
California,95912,Calaveras County,0.726
California,94506,Colusa County,0.65
California,95531,Contra Costa County,0.845
California,95613,Del Norte County,0.646
California,93210,El Dorado County,0.707
California,95913,Fresno County,0.77
California,95501,Glenn County,0.714
California,92227,Humboldt County,0.679
California,92328,Imperial County,0.866
California,93203,Inyo County,0.68
California,93202,Kern County,0.959
California,95422,Kings County,0.775
California,96009,Lake County,0.696
California,90292,Lassen County,0.712
California,93601,Los Angeles County,0.7
California,94901,Madera County,0.704
California,93623,Marin County,0.0
California,95410,Mariposa County,0.647
California,93620,Mendocino County,0.692
California,96006,Merced County,0.68
California,93512,Modoc County,0.771
California,93426,Mono County,0.684
California,94508,Monterey County,0.657
California,95945,Napa County,0.698
California,90620,Nevada County,0.742
California,95602,Orange County,0.675
California,95923,Placer County,0.85
California,91719,Plumas County,0.678
California,95608,Plumas County,0.678
California,95023,Sacramento County,0.767
California,91701,San Benito County,0.825
California,91901,San Bernardino County,0.719
California,94102,San Diego County,0.719
California,95202,San Francisco County,0.655
California,93401,San Francisco County,0.655
California,94002,San Luis Obispo County,0.697
California,93013,San Mateo County,0.599
California,94022,Santa Barbara County,0.653
California,95003,Santa Clara County,0.703
California,96001,Santa Cruz County,0.632
California,89439,Shasta County,0.712
California,95568,Washoe County,0.477
California,94510,Siskiyou County,0.678
California,94922,Solano County,0.765
California,95307,Sonoma County,0.713
California,95659,Stanislaus County,0.725
California,96021,Sutter County,0.812
California,95527,Tehama County,0.623
California,93201,Trinity County,0.55
California,95305,Tulare County,0.731
